Name,source,Cause,target,Order,Sign.
JPM,5,AAPL,0,1,.
MSFT,6,AAPL,0,1,*
VIX,13,AAPL,0,3,.
SPY,9,AIG,1,2,.
XLK,10,AIG,1,1,.
AIG,1,BAC,2,1,.
MSFT,6,BAC,2,2,.
VIX,13,BAC,2,5,.
XLK,10,BAC,2,2,**
XOM,8,BAC,2,4,.
BAC,2,CITI,3,1,.
JPM,5,CITI,3,5,*
WFC,7,CITI,3,6,*
XLF,11,CITI,3,6,.
AAPL,0,JNJ,4,4,*
AIG,1,JNJ,4,4,*
SPY,9,JNJ,4,1,*
JNJ,4,JPM,5,1,.
XLF,11,JPM,5,6,.
XOM,8,JPM,5,4,*
AIG,1,MSFT,6,2,.
JNJ,4,MSFT,6,1,*
SPY,9,MSFT,6,2,*
XLK,10,MSFT,6,1,*
BAC,2,SPY,9,5,.
MSFT,6,SPY,9,1,**
TED,12,SPY,9,2,.
XOM,8,SPY,9,4,.
WFC,7,TED,12,1,.
AAPL,0,VIX,13,1,*
AIG,1,VIX,13,3,.
TED,12,VIX,13,3,**
XOM,8,VIX,13,1,.
TED,12,WFC,7,4,*
VIX,13,WFC,7,1,.
XOM,8,WFC,7,6,.
MSFT,6,XLF,11,1,*
VIX,13,XLF,11,1,.
WFC,7,XLF,11,4,.
BAC,2,XLK,10,1,**
JNJ,4,XLK,10,1,**
MSFT,6,XLK,10,1,*
AAPL,0,XOM,8,1,.
BAC,2,XOM,8,1,*
CITI,3,XOM,8,1,*
JNJ,4,XOM,8,1,.
WFC,7,XOM,8,1,.
