Name,source,Cause,target,Order,Sign.
AAPL,1,AIG,2,1,.
AAPL,1,CITI,4,4,*
AAPL,1,MSFT,7,1,*
AAPL,1,XLK,11,2,.
AIG,2,SPY,10,1,**
AIG,2,WFC,8,1,.
AIG,2,XOM,9,6,.
BAC,3,WFC,8,1,**
CITI,4,JPM,6,4,**
CITI,4,MSFT,7,1,*
CITI,4,SPY,10,1,*
CITI,4,WFC,8,1,.
CITI,4,XLF,12,4,.
CITI,4,XLK,11,6,*
JNJ,5,BAC,3,5,.
JNJ,5,MSFT,7,1,.
JNJ,5,XLF,12,3,*
JPM,6,XLK,11,2,*
JPM,6,XOM,9,1,.
MSFT,7,AAPL,1,1,*
MSFT,7,CITI,4,6,*
MSFT,7,JPM,6,1,.
MSFT,7,XLK,11,4,*
SPY,10,AAPL,1,1,.
SPY,10,XLF,12,1,*
WFC,8,AIG,2,3,**
WFC,8,XLF,12,3,**
WFC,8,XOM,9,4,.
XLF,12,JNJ,5,1,*
XLF,12,JPM,6,3,*
XLF,12,WFC,8,1,*
XLK,11,CITI,4,2,.
XLK,11,JNJ,5,1,.
XLK,11,JPM,6,5,.
XLK,11,XLF,12,6,*
XOM,9,JPM,6,2,.
XOM,9,MSFT,7,2,.
XOM,9,XLK,11,5,*
