Name,source,Cause,target,Order,Sign.
AAPL,0,BAC,2,2,*
AAPL,0,CITI,3,5,.
AAPL,0,JNJ,4,3,*
AAPL,0,XOM,8,1,*
AAPL,0,SPY,9,1,*
AAPL,0,XLK,10,2,*
AAPL,0,XLF,11,2,*
AIG,1,CITI,3,1,*
AIG,1,JNJ,4,1,**
BAC,2,TED,12,4,.
BAC,2,AAPL,0,2,.
BAC,2,AIG,1,2,.
BAC,2,CITI,3,5,*
BAC,2,JNJ,4,1,*
BAC,2,XLK,10,1,.
CITI,3,AAPL,0,1,*
CITI,3,AIG,1,1,*
CITI,3,JPM,5,2,.
CITI,3,XOM,8,3,***
CITI,3,SPY,9,5,*
CITI,3,XLK,10,2,**
JNJ,4,VIX,13,4,.
JNJ,4,AIG,1,1,.
JNJ,4,XLF,11,5,.
JPM,5,VIX,13,5,.
JPM,5,AIG,1,1,.
MSFT,6,TED,12,4,*
MSFT,6,WFC,7,5,.
MSFT,6,XOM,8,4,.
SPY,9,MSFT,6,3,.
SPY,9,XOM,8,1,.
SPY,9,XLF,11,3,**
TED,12,AAPL,0,1,.
TED,12,AIG,1,2,.
TED,12,BAC,2,1,.
TED,12,CITI,3,1,*
TED,12,MSFT,6,4,.
TED,12,SPY,9,2,.
TED,12,XLK,10,1,.
TED,12,XLF,11,1,**
VIX,13,TED,12,2,***
VIX,13,AAPL,0,2,.
VIX,13,WFC,7,4,.
WFC,7,TED,12,5,.
WFC,7,VIX,13,4,.
WFC,7,BAC,2,6,*
WFC,7,CITI,3,1,*
WFC,7,JPM,5,2,.
WFC,7,XLK,10,2,*
WFC,7,XLF,11,2,.
XLF,11,TED,12,5,.
XLF,11,VIX,13,1,*
XLF,11,CITI,3,2,*
XLF,11,JPM,5,6,.
XLF,11,WFC,7,4,*
XLK,10,TED,12,6,.
XLK,10,VIX,13,1,.
XLK,10,AAPL,0,2,.
XLK,10,BAC,2,5,.
XLK,10,CITI,3,4,*
XLK,10,XLF,11,3,.
XOM,8,AAPL,0,1,*
XOM,8,CITI,3,1,*
XOM,8,XLK,10,3,*
