Name,source,Cause,target,Order,Sign.
AAPL,0,TED,12,2,.
AAPL,0,AIG,1,3,.
AAPL,0,BAC,2,1,.
AAPL,0,JNJ,4,3,*
AAPL,0,JPM,5,2,.
AAPL,0,SPY,9,1,.
AAPL,0,XLK,10,2,.
AIG,1,AAPL,0,4,*
AIG,1,BAC,2,1,*
AIG,1,CITI,3,5,.
AIG,1,JNJ,4,1,.
AIG,1,MSFT,6,6,.
AIG,1,XLK,10,2,.
BAC,2,CITI,3,6,*
BAC,2,JNJ,4,2,.
BAC,2,WFC,7,5,.
CITI,3,AIG,1,6,.
CITI,3,BAC,2,1,*
JNJ,4,VIX,13,6,.
JNJ,4,AIG,1,2,.
JNJ,4,BAC,2,1,.
JNJ,4,CITI,3,1,*
JNJ,4,JPM,5,4,.
JNJ,4,XLF,11,2,.
JPM,5,CITI,3,2,.
JPM,5,WFC,7,5,.
JPM,5,XOM,8,1,*
MSFT,6,TED,12,4,*
MSFT,6,AAPL,0,1,*
SPY,9,BAC,2,1,*
SPY,9,XOM,8,1,.
SPY,9,XLF,11,3,*
TED,12,AAPL,0,2,*
TED,12,AIG,1,2,.
TED,12,CITI,3,3,.
TED,12,SPY,9,2,.
TED,12,XLK,10,1,.
TED,12,XLF,11,2,***
VIX,13,TED,12,2,***
VIX,13,AAPL,0,2,.
VIX,13,JNJ,4,2,.
WFC,7,XOM,8,3,*
WFC,7,XLK,10,2,***
WFC,7,XLF,11,2,*
XLF,11,VIX,13,1,*
XLF,11,AAPL,0,3,.
XLF,11,BAC,2,2,.
XLF,11,JPM,5,6,.
XLF,11,WFC,7,1,.
XLF,11,XOM,8,1,*
XLF,11,SPY,9,3,*
XLF,11,XLK,10,2,*
XLK,10,VIX,13,3,.
XLK,10,TED,12,6,.
XLK,10,BAC,2,5,*
XLK,10,CITI,3,4,*
XOM,8,VIX,13,5,*
XOM,8,CITI,3,1,**
XOM,8,WFC,7,1,.
XOM,8,XLK,10,3,.
XOM,8,XLF,11,1,.
